# company_name, crawler_url
'株式会社DiANa', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46697557/'
'株式会社セントロイスコーポレーション', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_14/46614494/'
'フットセラピー株式会社', 'https://toranet.jp/beauty_p/jb_1909/ped_01/la_10/46855232/'
'ＴＳＣホリスティック株式会社', 'https://toranet.jp/beauty_p/jb_1910/ped_01/la_14/46823298/'
'株式会社さくら', 'https://toranet.jp/beauty_p/jb_1908/ped_01/la_10/46927708/'
'株式会社リクルートスタッフィング', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46894587/'
'ニッセイ･ビジネス･サービス株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46829904/'
'テンプスタッフ株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46813763/'
'株式会社スタッフサービス（リクルートグループ）', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46788297/'
'株式会社リクルートスタッフィング', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46784862/'
'三井住友海上火災保険株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46841751/'
'UTグループ株式会社', 'https://toranet.jp/office_p/jb_1011/ped_01/la_10/46802587/'
'東京ガステレマーケティング株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46805152/'
'株式会社リクルートスタッフィング', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46895486/'
'株式会社スタッフサービス（リクルートグループ）', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46809254/'
'第一生命保険株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46826941/'
'テンプスタッフ株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46733006/'
'ライフカード株式会社', 'https://toranet.jp/office_p/jb_1001/ped_01/la_12/46814476/'
'株式会社リクルーティングサービス', 'https://toranet.jp/office_p/jb_1003/ped_01/la_10/46897184/'
'株式会社サムシング', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46579226/'
'株式会社ネオキャリア', 'https://toranet.jp/office_p/jb_1001/ped_01/la_10/46878269/'
'レナード株式会社', 'https://toranet.jp/office_p/jb_1005/ped_01/la_10/46882137/'
